scenario,method,round,client,value
noniid_pairwise_overlap_50,exhaustive,2,client_2,0.17878333333333338
noniid_pairwise_overlap_50,exhaustive,2,client_3,0.26968333333333333
noniid_pairwise_overlap_50,exhaustive,3,client_1,0.28115
noniid_pairwise_overlap_50,exhaustive,3,client_2,0.19481666666666664
noniid_pairwise_overlap_50,exhaustive,3,client_3,0.2804166666666667
noniid_pairwise_overlap_50,exhaustive,4,client_1,0.28701666666666664
noniid_pairwise_overlap_50,exhaustive,4,client_2,0.19883333333333333
noniid_pairwise_overlap_50,exhaustive,4,client_3,0.2839
noniid_pairwise_overlap_50,exhaustive,5,client_1,0.29034999999999994
noniid_pairwise_overlap_50,exhaustive,5,client_2,0.20350000000000001
noniid_pairwise_overlap_50,exhaustive,5,client_3,0.28285
noniid_global_overlap_50,exhaustive,1,client_1,0.13445000000000001
noniid_global_overlap_50,exhaustive,1,client_2,0.1325333333333333
noniid_global_overlap_50,exhaustive,1,client_3,0.13408333333333336
noniid_global_overlap_50,exhaustive,2,client_1,0.13626666666666667
noniid_global_overlap_50,exhaustive,2,client_2,0.13571666666666668
noniid_global_overlap_50,exhaustive,2,client_3,0.13735
noniid_global_overlap_50,exhaustive,3,client_1,0.13713333333333336
noniid_global_overlap_50,exhaustive,3,client_2,0.13743333333333335
noniid_global_overlap_50,exhaustive,3,client_3,0.1374
noniid_global_overlap_50,exhaustive,4,client_1,0.13795
noniid_global_overlap_50,exhaustive,4,client_2,0.13770000000000002
noniid_global_overlap_50,exhaustive,4,client_3,0.13718333333333335
noniid_global_overlap_50,exhaustive,5,client_1,0.13761666666666666
noniid_global_overlap_50,exhaustive,5,client_2,0.13773333333333335
noniid_global_overlap_50,exhaustive,5,client_3,0.1371666666666667
noniid_pairwise_overlap_75,exhaustive,1,client_1,0.20229999999999995
noniid_pairwise_overlap_75,exhaustive,1,client_2,0.1779333333333333
noniid_pairwise_overlap_75,exhaustive,1,client_3,0.21566666666666667
noniid_pairwise_overlap_75,exhaustive,2,client_1,0.2759333333333333
noniid_pairwise_overlap_75,exhaustive,2,client_2,0.24614999999999998
noniid_pairwise_overlap_75,exhaustive,2,client_3,0.2712
noniid_pairwise_overlap_75,exhaustive,3,client_1,0.28155
noniid_pairwise_overlap_75,exhaustive,3,client_2,0.26435000000000003
noniid_pairwise_overlap_75,exhaustive,3,client_3,0.28373333333333334
noniid_pairwise_overlap_75,exhaustive,4,client_1,0.28501666666666664
noniid_pairwise_overlap_75,exhaustive,4,client_2,0.27666666666666667
noniid_pairwise_overlap_75,exhaustive,4,client_3,0.2846
noniid_pairwise_overlap_75,exhaustive,5,client_1,0.2866666666666667
noniid_pairwise_overlap_75,exhaustive,5,client_2,0.28053333333333336
noniid_pairwise_overlap_75,exhaustive,5,client_3,0.28305
noniid_global_overlap_75,exhaustive,1,client_1,0.13426666666666667
noniid_global_overlap_75,exhaustive,1,client_2,0.1328333333333333
noniid_global_overlap_75,exhaustive,1,client_3,0.13413333333333335
noniid_global_overlap_75,exhaustive,2,client_1,0.13608333333333333
noniid_global_overlap_75,exhaustive,2,client_2,0.13621666666666668
noniid_global_overlap_75,exhaustive,2,client_3,0.13654999999999998
noniid_global_overlap_75,exhaustive,3,client_1,0.13763333333333336
noniid_global_overlap_75,exhaustive,3,client_2,0.13728333333333334
noniid_global_overlap_75,exhaustive,3,client_3,0.13701666666666665
noniid_global_overlap_75,exhaustive,4,client_1,0.13708333333333333
noniid_global_overlap_75,exhaustive,4,client_2,0.13763333333333333
noniid_global_overlap_75,exhaustive,4,client_3,0.1378
noniid_global_overlap_75,exhaustive,5,client_1,0.13818333333333335
noniid_global_overlap_75,exhaustive,5,client_2,0.1376666666666667
noniid_global_overlap_75,exhaustive,5,client_3,0.13708333333333333
noniid_pairwise_overlap_100,exhaustive,1,client_1,0.20685
noniid_pairwise_overlap_100,exhaustive,1,client_2,0.10926666666666666
noniid_pairwise_overlap_100,exhaustive,1,client_3,0.2191833333333333
noniid_pairwise_overlap_100,exhaustive,2,client_1,0.2748833333333333
noniid_pairwise_overlap_100,exhaustive,2,client_2,0.11851666666666667
noniid_pairwise_overlap_100,exhaustive,2,client_3,0.2718666666666667
noniid_pairwise_overlap_100,exhaustive,3,client_1,0.2853333333333334
noniid_pairwise_overlap_100,exhaustive,3,client_2,0.12433333333333334
noniid_pairwise_overlap_100,exhaustive,3,client_3,0.28173333333333334
noniid_pairwise_overlap_100,exhaustive,4,client_1,0.28565
noniid_pairwise_overlap_100,exhaustive,4,client_2,0.13325
